,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
11789,0.57,0.861,6,-2.6,0,0.179,6.659999999999999e-05,0.000231,0.1009999999999999,0.3879999999999999,188.053,audio_features,1DYtwW0bh0Q3kQLbtxs7HE,spotify:track:1DYtwW0bh0Q3kQLbtxs7HE,https://api.spotify.com/v1/tracks/1DYtwW0bh0Q3kQLbtxs7HE,https://api.spotify.com/v1/audio-analysis/1DYtwW0bh0Q3kQLbtxs7HE,125179,3
2683,0.552,0.479,6,-12.328,1,0.0372,0.0721,0.845,0.0944,0.24,125.978,audio_features,2vSPdjRb4TLcxPYHQl9FZx,spotify:track:2vSPdjRb4TLcxPYHQl9FZx,https://api.spotify.com/v1/tracks/2vSPdjRb4TLcxPYHQl9FZx,https://api.spotify.com/v1/audio-analysis/2vSPdjRb4TLcxPYHQl9FZx,266667,4
16080,0.616,0.78,2,-6.062,1,0.0623,0.0322,0.0,0.173,0.471,110.005,audio_features,7cvkXf3AwPGT041PyOi5VX,spotify:track:7cvkXf3AwPGT041PyOi5VX,https://api.spotify.com/v1/tracks/7cvkXf3AwPGT041PyOi5VX,https://api.spotify.com/v1/audio-analysis/7cvkXf3AwPGT041PyOi5VX,377467,4
32363,0.642,0.958,7,-5.136,1,0.055,2.01e-05,0.865,0.5660000000000001,0.179,145.99200000000005,audio_features,7h35MsKvxhGXD1MfdxGdOK,spotify:track:7h35MsKvxhGXD1MfdxGdOK,https://api.spotify.com/v1/tracks/7h35MsKvxhGXD1MfdxGdOK,https://api.spotify.com/v1/audio-analysis/7h35MsKvxhGXD1MfdxGdOK,350137,4
26825,0.6829999999999999,0.9,6,-7.518,0,0.0406,0.000843,0.917,0.0994,0.148,126.003,audio_features,6mz7GiYfrA6uKHLQUtb9MW,spotify:track:6mz7GiYfrA6uKHLQUtb9MW,https://api.spotify.com/v1/tracks/6mz7GiYfrA6uKHLQUtb9MW,https://api.spotify.com/v1/audio-analysis/6mz7GiYfrA6uKHLQUtb9MW,459252,4
