,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
15542,0.623,0.473,8,-8.336,1,0.461,0.626,0.0,0.119,0.138,84.066,audio_features,0Px86mRlxdB3YqpK6KXWlr,spotify:track:0Px86mRlxdB3YqpK6KXWlr,https://api.spotify.com/v1/tracks/0Px86mRlxdB3YqpK6KXWlr,https://api.spotify.com/v1/audio-analysis/0Px86mRlxdB3YqpK6KXWlr,197822,4
6798,0.715,0.4579999999999999,1,-11.285,1,0.402,0.207,0.0,0.182,0.368,186.94,audio_features,2PU6NfckyK2iwqy6cFgZHj,spotify:track:2PU6NfckyK2iwqy6cFgZHj,https://api.spotify.com/v1/tracks/2PU6NfckyK2iwqy6cFgZHj,https://api.spotify.com/v1/audio-analysis/2PU6NfckyK2iwqy6cFgZHj,130909,4
3708,0.611,0.7909999999999999,8,-7.877999999999999,1,0.033,0.206,0.7120000000000001,0.168,0.0644,190.038,audio_features,4jp2CwSew9RPF82LV0pvef,spotify:track:4jp2CwSew9RPF82LV0pvef,https://api.spotify.com/v1/tracks/4jp2CwSew9RPF82LV0pvef,https://api.spotify.com/v1/audio-analysis/4jp2CwSew9RPF82LV0pvef,176302,3
14587,0.727,0.632,1,-8.916,1,0.259,0.135,0.0,0.182,0.474,83.755,audio_features,0WMgVB4OEm5JEj08lBtBgf,spotify:track:0WMgVB4OEm5JEj08lBtBgf,https://api.spotify.com/v1/tracks/0WMgVB4OEm5JEj08lBtBgf,https://api.spotify.com/v1/audio-analysis/0WMgVB4OEm5JEj08lBtBgf,180389,4
25968,0.7140000000000001,0.642,2,-9.97,1,0.0665,0.0107,0.882,0.0746,0.0332,132.995,audio_features,1Ytytd2YDhlzSXnACP2d05,spotify:track:1Ytytd2YDhlzSXnACP2d05,https://api.spotify.com/v1/tracks/1Ytytd2YDhlzSXnACP2d05,https://api.spotify.com/v1/audio-analysis/1Ytytd2YDhlzSXnACP2d05,549106,4
