,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
30056,0.56,0.8320000000000001,1,-6.306,1,0.0564,0.00113,0.00165,0.363,0.257,127.988,audio_features,1iALS9b9xsyxehGCkOZISE,spotify:track:1iALS9b9xsyxehGCkOZISE,https://api.spotify.com/v1/tracks/1iALS9b9xsyxehGCkOZISE,https://api.spotify.com/v1/audio-analysis/1iALS9b9xsyxehGCkOZISE,187500,4
11088,0.637,0.679,1,-10.618,1,0.05,0.000101,0.0,0.637,0.1989999999999999,146.987,audio_features,4BcgmofxHnQoTqCEIaVPxx,spotify:track:4BcgmofxHnQoTqCEIaVPxx,https://api.spotify.com/v1/tracks/4BcgmofxHnQoTqCEIaVPxx,https://api.spotify.com/v1/audio-analysis/4BcgmofxHnQoTqCEIaVPxx,231596,4
23880,0.65,0.917,10,-6.421,0,0.0485,0.00964,0.931,0.1639999999999999,0.7659999999999999,125.99,audio_features,6Pi0tLMxjbJK3Db0VtFVfW,spotify:track:6Pi0tLMxjbJK3Db0VtFVfW,https://api.spotify.com/v1/tracks/6Pi0tLMxjbJK3Db0VtFVfW,https://api.spotify.com/v1/audio-analysis/6Pi0tLMxjbJK3Db0VtFVfW,209524,4
8248,0.8390000000000001,0.437,11,-11.609000000000002,0,0.201,0.0172,0.0,0.0829,0.575,140.778,audio_features,3F56dwJFvEwl3KBSqwOdAv,spotify:track:3F56dwJFvEwl3KBSqwOdAv,https://api.spotify.com/v1/tracks/3F56dwJFvEwl3KBSqwOdAv,https://api.spotify.com/v1/audio-analysis/3F56dwJFvEwl3KBSqwOdAv,205062,5
40155,0.591,0.934,7,-5.083,0,0.0492,0.0136,0.0416,0.613,0.407,149.957,audio_features,7BfwytnDHpx4dguOJ1GU3o,spotify:track:7BfwytnDHpx4dguOJ1GU3o,https://api.spotify.com/v1/tracks/7BfwytnDHpx4dguOJ1GU3o,https://api.spotify.com/v1/audio-analysis/7BfwytnDHpx4dguOJ1GU3o,251200,4
