,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
16132,0.654,0.601,1,-6.071000000000001,1,0.312,0.059,0.0,0.0994,0.436,128.91899999999998,audio_features,1SpUSBx8HWUCV7wLCYY8EF,spotify:track:1SpUSBx8HWUCV7wLCYY8EF,https://api.spotify.com/v1/tracks/1SpUSBx8HWUCV7wLCYY8EF,https://api.spotify.com/v1/audio-analysis/1SpUSBx8HWUCV7wLCYY8EF,262520,4
12756,0.6609999999999999,0.8740000000000001,5,-5.904,0,0.0456,0.0168,0.0,0.41,0.682,127.915,audio_features,7N2DblLu8DuZ0seGYSg73v,spotify:track:7N2DblLu8DuZ0seGYSg73v,https://api.spotify.com/v1/tracks/7N2DblLu8DuZ0seGYSg73v,https://api.spotify.com/v1/audio-analysis/7N2DblLu8DuZ0seGYSg73v,216667,4
7025,0.705,0.643,10,-7.894,0,0.0732,0.316,0.0,0.21,0.303,207.134,audio_features,7JF1i2VyTvZLkU2sM2JQFB,spotify:track:7JF1i2VyTvZLkU2sM2JQFB,https://api.spotify.com/v1/tracks/7JF1i2VyTvZLkU2sM2JQFB,https://api.spotify.com/v1/audio-analysis/7JF1i2VyTvZLkU2sM2JQFB,194783,4
16184,0.8190000000000001,0.778,1,-5.839,0,0.21,0.0289999999999999,0.0,0.215,0.779,193.44,audio_features,6h7PQQIUQSNSAWqRe98MBU,spotify:track:6h7PQQIUQSNSAWqRe98MBU,https://api.spotify.com/v1/tracks/6h7PQQIUQSNSAWqRe98MBU,https://api.spotify.com/v1/audio-analysis/6h7PQQIUQSNSAWqRe98MBU,275267,4
39,0.765,0.62,10,-7.337999999999999,0,0.14,0.0643,0.0001899999999999,0.16,0.218,219.808,audio_features,2bmjoUqk5ELqted5imBtMd,spotify:track:2bmjoUqk5ELqted5imBtMd,https://api.spotify.com/v1/tracks/2bmjoUqk5ELqted5imBtMd,https://api.spotify.com/v1/audio-analysis/2bmjoUqk5ELqted5imBtMd,131350,4
