,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
12015,0.595,0.8740000000000001,8,-4.622,1,0.7020000000000001,0.0039,0.0,0.246,0.478,170.384,audio_features,1YQPrqfLOQ0nCZnHBAJLhx,spotify:track:1YQPrqfLOQ0nCZnHBAJLhx,https://api.spotify.com/v1/tracks/1YQPrqfLOQ0nCZnHBAJLhx,https://api.spotify.com/v1/audio-analysis/1YQPrqfLOQ0nCZnHBAJLhx,92134,4
22885,0.764,0.8859999999999999,11,-5.692,0,0.0466,0.000221,0.428,0.114,0.695,126.015,audio_features,43aHul2NIsgDa7Zw42SRTE,spotify:track:43aHul2NIsgDa7Zw42SRTE,https://api.spotify.com/v1/tracks/43aHul2NIsgDa7Zw42SRTE,https://api.spotify.com/v1/audio-analysis/43aHul2NIsgDa7Zw42SRTE,266667,4
29904,0.442,0.992,0,-5.339,0,0.0549,0.000213,0.875,0.255,0.278,138.00799999999998,audio_features,5hHc5045N2QrvIexZBnlf8,spotify:track:5hHc5045N2QrvIexZBnlf8,https://api.spotify.com/v1/tracks/5hHc5045N2QrvIexZBnlf8,https://api.spotify.com/v1/audio-analysis/5hHc5045N2QrvIexZBnlf8,427935,4
165,0.58,0.867,11,-4.031000000000001,0,0.165,0.0152,0.182,0.14,0.482,159.95,audio_features,4mx0eNjjZUyOzfY3I4P9HD,spotify:track:4mx0eNjjZUyOzfY3I4P9HD,https://api.spotify.com/v1/tracks/4mx0eNjjZUyOzfY3I4P9HD,https://api.spotify.com/v1/audio-analysis/4mx0eNjjZUyOzfY3I4P9HD,128109,4
6326,0.6729999999999999,0.502,2,-6.645,1,0.432,0.127,0.0,0.103,0.349,198.026,audio_features,19wtw9FEDtbf5z9p5KDCy9,spotify:track:19wtw9FEDtbf5z9p5KDCy9,https://api.spotify.com/v1/tracks/19wtw9FEDtbf5z9p5KDCy9,https://api.spotify.com/v1/audio-analysis/19wtw9FEDtbf5z9p5KDCy9,203613,4
